Generation, Population, AVG_speed, AVG_size, AVG_sense 
0,4,1.8,7.8,125.5
1,45,1.6,9.6,120.2
2,47,1.4,9.6,111.7
3,44,1.5,9.3,111.1
4,42,1.7,9.5,114.6
5,36,1.6,9.4,113.4
6,38,1.3,8.4,111.5
7,41,1.5,9.2,108.1
8,48,1.5,9.3,110.2
9,45,1.4,10,115.5
10,43,1.3,9.9,112
11,36,1.5,10.2,111.7
12,49,1.5,8.7,111.5
13,45,1.5,9.1,113.4
14,46,1.4,8.9,110.1
15,49,1.5,9.5,110.6
16,41,1.4,9.7,110.7
17,50,1.5,9.3,113.5
18,47,1.5,9.1,106.7
19,50,1.5,8.9,115.5
20,49,1.5,10.1,113.4
21,48,1.6,9.9,111.9
22,44,1.4,9.6,112.2
23,42,1.5,9.7,116.8
24,41,1.6,9.5,111
25,35,1.5,9.5,112.2
26,40,1.6,9.6,109.9
27,47,1.5,8.9,113.2
28,48,1.5,9.8,112.9
29,47,1.4,9.5,112.1
30,50,1.5,9.4,118.9
31,48,1.3,10,105.8
32,44,1.5,9.6,112.5
33,46,1.7,9.4,113.5
34,46,1.5,10,109.5
35,51,1.5,9.2,110.9
36,48,1.5,9.6,114.4
37,51,1.5,9.8,110.4
38,43,1.5,9.5,114.4
39,41,1.6,9.7,115.8
40,44,1.6,9.5,115.1
41,49,1.4,9.2,111.9
42,45,1.5,8.9,106.6
43,42,1.4,9.4,115.9
44,50,1.5,9.7,111.1
45,39,1.5,9,115.6
46,41,1.5,9,113.2
47,49,1.5,10.3,109.3
48,51,1.5,9.5,111.7
49,46,1.6,9.7,107.3
50,37,1.5,9.1,114.8
51,40,1.5,9.9,115.6
52,41,1.5,9.6,103.7
53,44,1.4,9.3,114.7
54,47,1.6,10.5,111.4
55,47,1.5,10.2,113
56,43,1.6,9.9,111
57,47,1.5,9.8,114.4
58,52,1.5,9.6,112.1
59,46,1.5,9.9,115.9
60,43,1.5,9.9,109
61,49,1.4,9.4,113.9
62,45,1.6,9.3,107
63,46,1.4,9.5,118.2
64,44,1.6,9.6,108
65,37,1.4,9.5,109.7
66,47,1.5,9.7,113.9
67,38,1.6,9.5,112.1
68,38,1.6,9.9,107.3
69,47,1.5,8.7,107.9
70,46,1.5,9.7,113.2
71,49,1.4,8.8,114.3
72,48,1.6,9.7,110.2
73,45,1.5,9.3,112.9
74,49,1.5,9.6,109.4
75,45,1.6,9.4,116.1
76,49,1.5,10.5,111.2
77,45,1.6,8.8,107.6
78,49,1.5,10.8,114.2
79,45,1.4,9.4,111.5
80,43,1.4,9,111.8
81,33,1.5,9.7,107.6
82,39,1.5,9.5,112.9
83,47,1.6,9.4,109.7
84,48,1.5,10,114.5
85,47,1.5,9.9,117
86,49,1.6,9.5,118.7
87,46,1.5,10,113.1
88,38,1.6,9.7,107.6
89,42,1.5,10.3,110.7
90,33,1.5,9.3,113.6
91,41,1.5,8.2,113.5
92,50,1.5,8.8,109.7
93,49,1.7,9.6,113.9
94,44,1.3,9.5,114.7
95,48,1.5,9.4,116.8
96,41,1.5,9.7,111.9
97,47,1.4,9.1,110.8
98,49,1.5,9.7,113
99,49,1.4,9.4,106
100,49,1.5,9.7,107.7
101,41,1.6,8.4,104.8
